"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wosp"
"180","Black Belt","Tracking",0.05,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"181","Central","Fixed",0.05,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"182","Central","Fixed",0.05,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"183","Central","Fixed",0.05,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"184","Central","Fixed",0.05,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"185","Central","Fixed",0.05,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"186","Central","Fixed",0.05,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"187","Central","Fixed",0.05,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"188","Central","Fixed",0.05,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"189","Central","Fixed",0.05,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"190","Central","Fixed",0.05,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"191","Central","Fixed",0.05,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"192","Central","Fixed",0.05,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"193","Central","Fixed",0.05,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"194","Central","Fixed",0.05,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"195","Central","Fixed",0.05,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"196","Central","Fixed",0.05,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"197","Central","Fixed",0.05,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"198","Central","Fixed",0.05,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"199","Central","Tracking",0.05,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"200","Central","Tracking",0.05,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"201","Central","Tracking",0.05,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"202","Central","Tracking",0.05,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"203","Central","Tracking",0.05,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"204","Central","Tracking",0.05,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"205","Central","Tracking",0.05,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"206","Central","Tracking",0.05,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"207","Central","Tracking",0.05,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"208","Central","Tracking",0.05,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"209","Central","Tracking",0.05,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"210","Central","Tracking",0.05,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"211","Central","Tracking",0.05,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"212","Central","Tracking",0.05,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"213","Central","Tracking",0.05,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"214","Central","Tracking",0.05,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"215","Central","Tracking",0.05,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"216","Central","Tracking",0.05,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"217","Northern","Fixed",0.05,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"218","Northern","Fixed",0.05,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"219","Northern","Fixed",0.05,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"220","Northern","Fixed",0.05,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"221","Northern","Fixed",0.05,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"222","Northern","Fixed",0.05,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"223","Northern","Fixed",0.05,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"224","Northern","Fixed",0.05,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"225","Northern","Fixed",0.05,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"226","Northern","Fixed",0.05,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"227","Northern","Fixed",0.05,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"228","Northern","Fixed",0.05,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"229","Northern","Fixed",0.05,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"230","Northern","Fixed",0.05,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"231","Northern","Fixed",0.05,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"232","Northern","Fixed",0.05,0,0.01,7,8.2,1177.24503,0.8,2460,1177.24503,1177.24503
"233","Northern","Fixed",0.05,0,0.01,8,8.2,1522.89003,0.7,2152.5,1522.89003,1522.89003
"234","Northern","Fixed",0.05,0,0.01,9,8.2,1253.53503,0.6,1845,1253.53503,1253.53503
"235","Northern","Tracking",0.05,0,0.01,4,4.6,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"236","Northern","Tracking",0.05,0,0.01,5,4.6,1024.66503,1.2,3690,1024.66503,1024.66503
"237","Northern","Tracking",0.05,0,0.01,6,4.6,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"238","Northern","Tracking",0.05,0,0.01,7,4.6,1177.24503,0.8,2460,1177.24503,1177.24503
"239","Northern","Tracking",0.05,0,0.01,8,4.6,1522.89003,0.7,2152.5,1522.89003,1522.89003
"240","Northern","Tracking",0.05,0,0.01,9,4.6,1253.53503,0.6,1845,1253.53503,1253.53503
"241","Northern","Tracking",0.05,0,0.01,4,6.4,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"242","Northern","Tracking",0.05,0,0.01,5,6.4,1024.66503,1.2,3690,1024.66503,1024.66503
"243","Northern","Tracking",0.05,0,0.01,6,6.4,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
"244","Northern","Tracking",0.05,0,0.01,7,6.4,1177.24503,0.8,2460,1177.24503,1177.24503
"245","Northern","Tracking",0.05,0,0.01,8,6.4,1522.89003,0.7,2152.5,1522.89003,1522.89003
"246","Northern","Tracking",0.05,0,0.01,9,6.4,1253.53503,0.6,1845,1253.53503,1253.53503
"247","Northern","Tracking",0.05,0,0.01,4,8.2,872.085030000002,1.6,4920,872.085030000002,872.085030000002
"248","Northern","Tracking",0.05,0,0.01,5,8.2,1024.66503,1.2,3690,1024.66503,1024.66503
"249","Northern","Tracking",0.05,0,0.01,6,8.2,216.600030000001,0.9,2767.5,216.600030000001,216.600030000001
