"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sqav_profit","sqavp_wosp"
"199","Black Belt","Tracking",0.05,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"200","Black Belt","Tracking",0.05,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"201","Black Belt","Tracking",0.05,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"202","Black Belt","Tracking",0.05,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"203","Black Belt","Tracking",0.05,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"204","Black Belt","Tracking",0.05,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"205","Black Belt","Tracking",0.05,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"206","Black Belt","Tracking",0.05,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"207","Black Belt","Tracking",0.05,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"208","Black Belt","Tracking",0.05,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"209","Black Belt","Tracking",0.05,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"210","Black Belt","Tracking",0.05,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"211","Central","Fixed",0.05,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"212","Central","Fixed",0.05,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"213","Central","Fixed",0.05,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"214","Central","Fixed",0.05,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"215","Central","Fixed",0.05,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"216","Central","Fixed",0.05,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"217","Central","Fixed",0.05,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"218","Central","Fixed",0.05,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"219","Central","Fixed",0.05,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"220","Central","Fixed",0.05,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"221","Central","Fixed",0.05,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"222","Central","Fixed",0.05,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"223","Central","Fixed",0.05,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"224","Central","Fixed",0.05,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"225","Central","Fixed",0.05,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"226","Central","Fixed",0.05,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"227","Central","Fixed",0.05,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"228","Central","Fixed",0.05,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"229","Central","Fixed",0.05,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"230","Central","Fixed",0.05,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"231","Central","Fixed",0.05,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"232","Central","Tracking",0.05,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"233","Central","Tracking",0.05,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"234","Central","Tracking",0.05,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"235","Central","Tracking",0.05,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"236","Central","Tracking",0.05,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"237","Central","Tracking",0.05,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"238","Central","Tracking",0.05,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"239","Central","Tracking",0.05,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"240","Central","Tracking",0.05,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"241","Central","Tracking",0.05,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"242","Central","Tracking",0.05,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"243","Central","Tracking",0.05,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"244","Central","Tracking",0.05,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"245","Central","Tracking",0.05,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"246","Central","Tracking",0.05,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"247","Central","Tracking",0.05,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"248","Central","Tracking",0.05,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"249","Central","Tracking",0.05,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"250","Central","Tracking",0.05,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"251","Central","Tracking",0.05,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"252","Central","Tracking",0.05,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"253","Northern","Fixed",0.05,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"254","Northern","Fixed",0.05,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"255","Northern","Fixed",0.05,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
"256","Northern","Fixed",0.05,0,0.01,14,4.6,389.11702,0.4,436,-610.88298,389.11702
"257","Northern","Fixed",0.05,0,0.01,15,4.6,825.11702,0.4,436,-174.88298,825.11702
"258","Northern","Fixed",0.05,0,0.01,16,4.6,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"259","Northern","Fixed",0.05,0,0.01,17,4.6,341.36702,0.3,327,-658.63298,341.36702
"260","Northern","Fixed",0.05,0,0.01,11,6.4,484.61702,0.6,654,-515.38298,484.61702
"261","Northern","Fixed",0.05,0,0.01,12,6.4,327.86702,0.5,545,-672.13298,327.86702
"262","Northern","Fixed",0.05,0,0.01,13,6.4,872.86702,0.5,545,-127.13298,872.86702
"263","Northern","Fixed",0.05,0,0.01,14,6.4,389.11702,0.4,436,-610.88298,389.11702
"264","Northern","Fixed",0.05,0,0.01,15,6.4,825.11702,0.4,436,-174.88298,825.11702
"265","Northern","Fixed",0.05,0,0.01,16,6.4,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"266","Northern","Fixed",0.05,0,0.01,17,6.4,341.36702,0.3,327,-658.63298,341.36702
"267","Northern","Fixed",0.05,0,0.01,11,8.2,484.61702,0.6,654,-515.38298,484.61702
"268","Northern","Fixed",0.05,0,0.01,12,8.2,327.86702,0.5,545,-672.13298,327.86702
"269","Northern","Fixed",0.05,0,0.01,13,8.2,872.86702,0.5,545,-127.13298,872.86702
"270","Northern","Fixed",0.05,0,0.01,14,8.2,389.11702,0.4,436,-610.88298,389.11702
"271","Northern","Fixed",0.05,0,0.01,15,8.2,825.11702,0.4,436,-174.88298,825.11702
"272","Northern","Fixed",0.05,0,0.01,16,8.2,14.3670199999997,0.3,327,-985.63298,14.3670199999997
"273","Northern","Fixed",0.05,0,0.01,17,8.2,341.36702,0.3,327,-658.63298,341.36702
"274","Northern","Tracking",0.05,0,0.01,11,4.6,484.61702,0.6,654,-515.38298,484.61702
"275","Northern","Tracking",0.05,0,0.01,12,4.6,327.86702,0.5,545,-672.13298,327.86702
"276","Northern","Tracking",0.05,0,0.01,13,4.6,872.86702,0.5,545,-127.13298,872.86702
