"","al_regs","array","sprop","panels","elcprc","price","height","profit","yldvar","yield","sbav_profit","sbavp_wocp"
"124","Northern","Tracking",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5835.6351119963,1044.6800819963
"125","Northern","Tracking",0.1,59,0.01,8,8.2,14209.02003,1.3,3997.5,9833.1351119963,1967.1800819963
"126","Northern","Tracking",0.1,59,0.01,9,8.2,15784.66503,1.2,3690,11408.7801119963,467.825081996307
"127","Southern","Fixed",0.1,59,0.01,3,4.6,-4047.91497,1.6,4920,-7274.04715136772,234.997818632281
"128","Southern","Fixed",0.1,59,0.01,4,4.6,-896.624969999997,1.4,4305,-4122.75715136772,311.287818632281
"129","Southern","Fixed",0.1,59,0.01,5,4.6,2216.52003,1.3,3997.5,-1009.61215136772,349.432818632279
"130","Southern","Fixed",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2987.88784863228,1271.93281863228
"131","Southern","Fixed",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,5178.53284863228,387.577818632282
"132","Southern","Fixed",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8868.53284863228,1002.57781863228
"133","Southern","Fixed",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12558.5328486323,1617.57781863228
"134","Southern","Fixed",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7282.77105924495,226.273910755053
"135","Southern","Fixed",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3823.98105924494,610.063910755055
"136","Southern","Fixed",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-403.336059244944,955.708910755055
"137","Southern","Fixed",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2402.30894075505,686.353910755052
"138","Southern","Fixed",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6399.80894075505,1608.85391075505
"139","Southern","Fixed",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8282.95394075506,416.998910755055
"140","Southern","Fixed",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11972.9539407551,1031.99891075506
"141","Southern","Fixed",0.1,59,0.01,3,8.2,-2317.34997,1.9,5842.5,-7224.16966618417,284.875303815827
"142","Southern","Fixed",0.1,59,0.01,4,8.2,872.085030000002,1.6,4920,-4034.73466618417,399.310303815824
"143","Southern","Fixed",0.1,59,0.01,5,8.2,4600.23003,1.5,4612.5,-306.589666184174,1052.45530381582
"144","Southern","Fixed",0.1,59,0.01,6,8.2,7713.37503,1.4,4305,2806.55533381583,1090.60030381583
"145","Southern","Fixed",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5304.70033381582,513.745303815822
"146","Southern","Fixed",0.1,59,0.01,8,8.2,14209.02003,1.3,3997.5,9302.20033381582,1436.24530381582
"147","Southern","Fixed",0.1,59,0.01,9,8.2,18206.52003,1.3,3997.5,13299.7003338158,2358.74530381582
"148","Southern","Tracking",0.1,59,0.01,3,4.6,-3471.05997,1.7,5227.5,-6950.24882839166,558.796141608339
"149","Southern","Tracking",0.1,59,0.01,4,4.6,-896.624969999997,1.4,4305,-4375.81382839166,58.2311416083403
"150","Southern","Tracking",0.1,59,0.01,5,4.6,2216.52003,1.3,3997.5,-1262.66882839166,96.3761416083371
"151","Southern","Tracking",0.1,59,0.01,6,4.6,6214.02003,1.3,3997.5,2734.83117160834,1018.87614160834
"152","Southern","Tracking",0.1,59,0.01,7,4.6,8404.66503,1.2,3690,4925.47617160834,134.521141608341
"153","Southern","Tracking",0.1,59,0.01,8,4.6,12094.66503,1.2,3690,8615.47617160834,749.52114160834
"154","Southern","Tracking",0.1,59,0.01,9,4.6,15784.66503,1.2,3690,12305.4761716083,1364.52114160834
"155","Southern","Tracking",0.1,59,0.01,3,6.4,-3471.05997,1.7,5227.5,-7379.92685819768,129.118111802321
"156","Southern","Tracking",0.1,59,0.01,4,6.4,-12.2699699999976,1.5,4612.5,-3921.13685819768,512.908111802322
"157","Southern","Tracking",0.1,59,0.01,5,6.4,3408.37503,1.4,4305,-500.491858197676,858.553111802323
"158","Southern","Tracking",0.1,59,0.01,6,6.4,6214.02003,1.3,3997.5,2305.15314180232,589.19811180232
"159","Southern","Tracking",0.1,59,0.01,7,6.4,10211.52003,1.3,3997.5,6302.65314180232,1511.69811180232
"160","Southern","Tracking",0.1,59,0.01,8,6.4,12094.66503,1.2,3690,8185.79814180232,319.843111802324
"161","Southern","Tracking",0.1,59,0.01,9,6.4,15784.66503,1.2,3690,11875.7981418023,934.843111802324
"162","Southern","Tracking",0.1,59,0.01,3,8.2,-2894.20497,1.8,5535,-7232.7498880037,276.295081996303
"163","Southern","Tracking",0.1,59,0.01,4,8.2,-12.2699699999976,1.5,4612.5,-4350.81488800369,83.2300819963048
"164","Southern","Tracking",0.1,59,0.01,5,8.2,3408.37503,1.4,4305,-930.169888003694,428.875081996305
"165","Southern","Tracking",0.1,59,0.01,6,8.2,6214.02003,1.3,3997.5,1875.4751119963,159.520081996302
"166","Southern","Tracking",0.1,59,0.01,7,8.2,10211.52003,1.3,3997.5,5872.9751119963,1082.0200819963
"167","Southern","Tracking",0.1,59,0.01,8,8.2,14209.02003,1.3,3997.5,9870.4751119963,2004.5200819963
"168","Southern","Tracking",0.1,59,0.01,9,8.2,15784.66503,1.2,3690,11446.1201119963,505.165081996307
"169","Black Belt","Fixed",0.15,118,0.01,4,4.6,2640.79503,1.8,5535,-3818.06933273544,615.975637264561
"170","Black Belt","Fixed",0.15,118,0.01,5,4.6,5792.08503,1.6,4920,-666.779332735437,692.265637264562
"171","Black Belt","Fixed",0.15,118,0.01,6,4.6,9212.73003,1.5,4612.5,2753.86566726456,1037.91063726456
"172","Black Belt","Fixed",0.15,118,0.01,7,4.6,12018.37503,1.4,4305,5559.51066726456,768.555637264562
"173","Black Belt","Fixed",0.15,118,0.01,8,4.6,16323.37503,1.4,4305,9864.51066726456,1998.55563726456
"174","Black Belt","Fixed",0.15,118,0.01,9,4.6,18206.52003,1.3,3997.5,11747.6556672646,806.700637264559
"175","Black Belt","Fixed",0.15,118,0.01,4,6.4,3525.15003,1.9,5842.5,-4104.87214848989,329.17282151011
"176","Black Belt","Fixed",0.15,118,0.01,5,6.4,6983.94003,1.7,5227.5,-646.082148489892,712.962821510107
"177","Black Belt","Fixed",0.15,118,0.01,6,6.4,10712.08503,1.6,4920,3082.06285151011,1366.10782151011
"178","Black Belt","Fixed",0.15,118,0.01,7,6.4,13825.23003,1.5,4612.5,6195.20785151011,1404.25282151011
"179","Black Belt","Fixed",0.15,118,0.01,8,6.4,16323.37503,1.4,4305,8693.35285151011,827.397821510109
"180","Black Belt","Fixed",0.15,118,0.01,9,6.4,20628.37503,1.4,4305,12998.3528515101,2057.39782151011
"181","Black Belt","Fixed",0.15,118,0.01,5,8.2,9367.65003,1.9,5842.5,-452.589362368348,906.455607631651
"182","Black Belt","Fixed",0.15,118,0.01,6,8.2,12211.44003,1.7,5227.5,2391.20063763165,675.245607631648
"183","Black Belt","Fixed",0.15,118,0.01,7,8.2,15632.08503,1.6,4920,5811.84563763165,1020.89060763165
"184","Black Belt","Fixed",0.15,118,0.01,8,8.2,18437.73003,1.5,4612.5,8617.49063763165,751.535607631649
"185","Black Belt","Fixed",0.15,118,0.01,9,8.2,23050.23003,1.5,4612.5,13229.9906376317,2289.03560763165
"186","Black Belt","Tracking",0.15,118,0.01,4,4.6,2640.79503,1.8,5535,-4330.30268678332,103.742283216678
"187","Black Belt","Tracking",0.15,118,0.01,5,4.6,5792.08503,1.6,4920,-1179.01268678332,180.032283216678
"188","Black Belt","Tracking",0.15,118,0.01,6,4.6,9212.73003,1.5,4612.5,2241.63231321668,525.677283216679
"189","Black Belt","Tracking",0.15,118,0.01,7,4.6,12018.37503,1.4,4305,5047.27731321668,256.322283216679
"190","Black Belt","Tracking",0.15,118,0.01,8,4.6,16323.37503,1.4,4305,9352.27731321668,1486.32228321668
"191","Black Belt","Tracking",0.15,118,0.01,9,4.6,18206.52003,1.3,3997.5,11235.4223132167,294.467283216676
"192","Black Belt","Tracking",0.15,118,0.01,4,6.4,3525.15003,1.9,5842.5,-4305.30374639535,128.741223604646
"193","Black Belt","Tracking",0.15,118,0.01,5,6.4,6983.94003,1.7,5227.5,-846.513746395356,512.531223604643
"194","Black Belt","Tracking",0.15,118,0.01,6,6.4,10712.08503,1.6,4920,2881.63125360464,1165.67622360464
"195","Black Belt","Tracking",0.15,118,0.01,7,6.4,13825.23003,1.5,4612.5,5994.77625360464,1203.82122360464
"196","Black Belt","Tracking",0.15,118,0.01,8,6.4,16323.37503,1.4,4305,8492.92125360465,626.966223604644
"197","Black Belt","Tracking",0.15,118,0.01,9,6.4,20628.37503,1.4,4305,12797.9212536046,1856.96622360464
"198","Black Belt","Tracking",0.15,118,0.01,4,8.2,4409.50503,2,6150,-4280.30480600739,153.740163992607
"199","Black Belt","Tracking",0.15,118,0.01,5,8.2,8175.79503,1.8,5535,-514.014806007392,845.030163992607
"200","Black Belt","Tracking",0.15,118,0.01,6,8.2,10712.08503,1.6,4920,2022.27519399261,306.320163992608
"201","Black Belt","Tracking",0.15,118,0.01,7,8.2,13825.23003,1.5,4612.5,5135.42019399261,344.465163992609
"202","Black Belt","Tracking",0.15,118,0.01,8,8.2,18437.73003,1.5,4612.5,9747.92019399261,1881.96516399261
"203","Black Belt","Tracking",0.15,118,0.01,9,8.2,20628.37503,1.4,4305,11938.5651939926,997.610163992609
"204","Central","Fixed",0.15,118,0.01,4,4.6,2640.79503,1.8,5535,-3836.21933273544,597.82563726456
"205","Central","Fixed",0.15,118,0.01,5,4.6,5792.08503,1.6,4920,-684.929332735438,674.115637264561
"206","Central","Fixed",0.15,118,0.01,6,4.6,9212.73003,1.5,4612.5,2735.71566726456,1019.76063726456
"207","Central","Fixed",0.15,118,0.01,7,4.6,12018.37503,1.4,4305,5541.36066726456,750.405637264562
"208","Central","Fixed",0.15,118,0.01,8,4.6,16323.37503,1.4,4305,9846.36066726456,1980.40563726456
"209","Central","Fixed",0.15,118,0.01,9,4.6,18206.52003,1.3,3997.5,11729.5056672646,788.550637264558
