"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2","0.60Fixed4.6","0.60Fixed6.4","0.60Fixed8.2","0.60Tracking4.6","0.60Tracking6.4","0.60Tracking8.2","0.70Fixed4.6","0.70Fixed6.4","0.70Fixed8.2","0.70Tracking4.6","0.70Tracking6.4","0.70Tracking8.2","0.80Fixed4.6","0.80Fixed6.4","0.80Fixed8.2","0.80Tracking4.6","0.80Tracking6.4","0.80Tracking8.2","0.85Fixed4.6","0.85Fixed6.4","0.85Fixed8.2","0.85Tracking4.6","0.85Tracking6.4","0.85Tracking8.2"
"0.02230.6Southern",3979,3979,3979,3979,3979,3979,1162,577,-518,976,546,116,-7290,-9632,-14013,-8036,-9755,-11474,-15742,-19841,-27507,-17049,-20057,-23064,-21377,-26647,-36503,-23057,-26924,-30791,-24194,-30050,-41001,-26061,-30358,-34655,-29829,-36856,-49997,-32069,-37225,-42382,-29829,-36856,-49997,-32069,-37225,-42382
"0.03230.6Southern",3979,3979,3979,3979,3979,3979,1571,986,-109,1451,1021,592,-5654,-7997,-12377,-6135,-7854,-9573,-12880,-16979,-24645,-13722,-16730,-19738,-17697,-22967,-32823,-18780,-22647,-26514,-20105,-25961,-36912,-21309,-25605,-29902,-24922,-31949,-45091,-26366,-31522,-36679,-24922,-31949,-45091,-26366,-31522,-36679
"0.04230.6Southern",3979,3979,3979,3979,3979,3979,1980,1395,300,1926,1497,1067,-4019,-6361,-10741,-4234,-5953,-7672,-10018,-14117,-21783,-10395,-13403,-16411,-14017,-19287,-29143,-14503,-18370,-22237,-16016,-21872,-32823,-16556,-20853,-25150,-20016,-27042,-40184,-20663,-25819,-30976,-20016,-27042,-40184,-20663,-25819,-30976
"0.02170.7Southern",697,697,697,697,697,697,-2120,-2705,-3800,-2306,-2736,-3166,-10572,-12914,-17295,-11318,-13037,-14756,-19024,-23123,-30789,-20331,-23339,-26346,-24659,-29929,-39785,-26339,-30206,-34073,-27476,-33332,-44283,-29343,-33640,-37937,-33111,-40138,-53279,-35351,-40507,-45664,-33111,-40138,-53279,-35351,-40507,-45664
"0.03170.7Southern",697,697,697,697,697,697,-1711,-2296,-3391,-1831,-2261,-2690,-8936,-11279,-15659,-9417,-11136,-12855,-16162,-20261,-27927,-17004,-20012,-23020,-20979,-26249,-36105,-22062,-25929,-29796,-23387,-29243,-40194,-24591,-28887,-33184,-28204,-35231,-48373,-29648,-34804,-39961,-28204,-35231,-48373,-29648,-34804,-39961
"0.04170.7Southern",697,697,697,697,697,697,-1302,-1887,-2982,-1356,-1785,-2215,-7301,-9643,-14023,-7516,-9235,-10954,-13300,-17399,-25065,-13677,-16685,-19693,-17299,-22569,-32425,-17785,-21652,-25519,-19298,-25154,-36105,-19838,-24135,-28432,-23298,-30324,-43466,-23945,-29101,-34258,-23298,-30324,-43466,-23945,-29101,-34258
"0.02200.7Southern",3553,3553,3553,3553,3553,3553,736,151,-944,550,120,-310,-7716,-10058,-14439,-8462,-10181,-11900,-16168,-20267,-27933,-17475,-20483,-23490,-21803,-27073,-36929,-23483,-27350,-31217,-24620,-30476,-41427,-26487,-30784,-35081,-30255,-37282,-50423,-32495,-37651,-42808,-30255,-37282,-50423,-32495,-37651,-42808
"0.03200.7Southern",3553,3553,3553,3553,3553,3553,1145,560,-535,1025,595,166,-6080,-8423,-12803,-6561,-8280,-9999,-13306,-17405,-25071,-14148,-17156,-20164,-18123,-23393,-33249,-19206,-23073,-26940,-20531,-26387,-37338,-21735,-26031,-30328,-25348,-32375,-45517,-26792,-31948,-37105,-25348,-32375,-45517,-26792,-31948,-37105
"0.04200.7Southern",3553,3553,3553,3553,3553,3553,1554,969,-126,1500,1071,641,-4445,-6787,-11167,-4660,-6379,-8098,-10444,-14543,-22209,-10821,-13829,-16837,-14443,-19713,-29569,-14929,-18796,-22663,-16442,-22298,-33249,-16982,-21279,-25576,-20442,-27468,-40610,-21089,-26245,-31402,-20442,-27468,-40610,-21089,-26245,-31402
"0.02230.7Southern",6409,6409,6409,6409,6409,6409,3592,3007,1912,3406,2976,2546,-4860,-7202,-11583,-5606,-7325,-9044,-13312,-17411,-25077,-14619,-17627,-20634,-18947,-24217,-34073,-20627,-24494,-28361,-21764,-27620,-38571,-23631,-27928,-32225,-27399,-34426,-47567,-29639,-34795,-39952,-27399,-34426,-47567,-29639,-34795,-39952
"0.03230.7Southern",6409,6409,6409,6409,6409,6409,4001,3416,2321,3881,3451,3022,-3224,-5567,-9947,-3705,-5424,-7143,-10450,-14549,-22215,-11292,-14300,-17308,-15267,-20537,-30393,-16350,-20217,-24084,-17675,-23531,-34482,-18879,-23175,-27472,-22492,-29519,-42661,-23936,-29092,-34249,-22492,-29519,-42661,-23936,-29092,-34249
"0.04230.7Southern",6409,6409,6409,6409,6409,6409,4410,3825,2730,4356,3927,3497,-1589,-3931,-8311,-1804,-3523,-5242,-7588,-11687,-19353,-7965,-10973,-13981,-11587,-16857,-26713,-12073,-15940,-19807,-13586,-19442,-30393,-14126,-18423,-22720,-17586,-24612,-37754,-18233,-23389,-28546,-17586,-24612,-37754,-18233,-23389,-28546
"0.02170.8Southern",2311,2311,2311,2311,2311,2311,-506,-1091,-2186,-692,-1122,-1552,-8958,-11300,-15681,-9704,-11423,-13142,-17410,-21509,-29175,-18717,-21725,-24732,-23045,-28315,-38171,-24725,-28592,-32459,-25862,-31718,-42669,-27729,-32026,-36323,-31497,-38524,-51665,-33737,-38893,-44050,-31497,-38524,-51665,-33737,-38893,-44050
"0.03170.8Southern",2311,2311,2311,2311,2311,2311,-97,-682,-1777,-217,-647,-1076,-7322,-9665,-14045,-7803,-9522,-11241,-14548,-18647,-26313,-15390,-18398,-21406,-19365,-24635,-34491,-20448,-24315,-28182,-21773,-27629,-38580,-22977,-27273,-31570,-26590,-33617,-46759,-28034,-33190,-38347,-26590,-33617,-46759,-28034,-33190,-38347
"0.04170.8Southern",2311,2311,2311,2311,2311,2311,312,-273,-1368,258,-171,-601,-5687,-8029,-12409,-5902,-7621,-9340,-11686,-15785,-23451,-12063,-15071,-18079,-15685,-20955,-30811,-16171,-20038,-23905,-17684,-23540,-34491,-18224,-22521,-26818,-21684,-28710,-41852,-22331,-27487,-32644,-21684,-28710,-41852,-22331,-27487,-32644
