,0.00Fixed4.6,0.00Fixed6.4,0.00Fixed8.2,0.00Tracking4.6,0.00Tracking6.4,0.00Tracking8.2,0.25Fixed4.6,0.25Fixed6.4,0.25Fixed8.2,0.25Tracking4.6,0.25Tracking6.4,0.25Tracking8.2,0.50Fixed4.6,0.50Fixed6.4,0.50Fixed8.2,0.50Tracking4.6,0.50Tracking6.4,0.50Tracking8.2,0.75Fixed4.6,0.75Fixed6.4,0.75Fixed8.2,0.75Tracking4.6,0.75Tracking6.4,0.75Tracking8.2,1.00Fixed4.6,1.00Fixed6.4,1.00Fixed8.2,1.00Tracking4.6,1.00Tracking6.4,1.00Tracking8.2
0.03201.2Central,4044,4044,4044,4044,4044,4044,7604.12,7602.58,7599.69,8162.33,8161.19,8160.06,12349.08,12345.47,12338.74,13652.32,13649.68,13647.04,17094.96,17089.3,17078.72,19142.64,19138.49,19134.34,21840.82,21833.1,21818.67,24633,24627.33,24621.67
0.04201.2Central,4044,4044,4044,4044,4044,4044,8794.02,8792.48,8789.59,9538.58,9537.44,9536.31,15124.89,15121.28,15114.55,16863.2,16860.56,16857.92,21456.99,21451.33,21440.75,24188.26,24184.11,24179.96,27789.06,27781.34,27766.91,31513.37,31507.7,31502.04
0.02231.2Central,4860,4860,4860,4860,4860,4860,7230.22,7228.68,7225.79,7602.08,7600.94,7599.81,10389.27,10385.66,10378.93,11257.44,11254.8,11252.16,13548.93,13543.27,13532.69,14913.02,14908.87,14904.72,16708.58,16700.86,16686.43,18568.63,18562.96,18557.3
0.03231.2Central,4860,4860,4860,4860,4860,4860,8420.12,8418.58,8415.69,8978.33,8977.19,8976.06,13165.08,13161.47,13154.74,14468.32,14465.68,14463.04,17910.96,17905.3,17894.72,19958.64,19954.49,19950.34,22656.82,22649.1,22634.67,25449,25443.33,25437.67
0.04231.2Central,4860,4860,4860,4860,4860,4860,9610.02,9608.48,9605.59,10354.58,10353.44,10352.31,15940.89,15937.28,15930.55,17679.2,17676.56,17673.92,22272.99,22267.33,22256.75,25004.26,25000.11,24995.96,28605.06,28597.34,28582.91,32329.37,32323.7,32318.04
0.02171.5Central,8070,8070,8070,8070,8070,8070,10440.22,10438.68,10435.79,10812.08,10810.94,10809.81,13599.27,13595.66,13588.93,14467.44,14464.8,14462.16,16758.93,16753.27,16742.69,18123.02,18118.87,18114.72,19918.58,19910.86,19896.43,21778.63,21772.96,21767.3
0.03171.5Central,8070,8070,8070,8070,8070,8070,11630.12,11628.58,11625.69,12188.33,12187.19,12186.06,16375.08,16371.47,16364.74,17678.32,17675.68,17673.04,21120.96,21115.3,21104.72,23168.64,23164.49,23160.34,25866.82,25859.1,25844.67,28659,28653.33,28647.67
0.04171.5Central,8070,8070,8070,8070,8070,8070,12820.02,12818.48,12815.59,13564.58,13563.44,13562.31,19150.89,19147.28,19140.55,20889.2,20886.56,20883.92,25482.99,25477.33,25466.75,28214.26,28210.11,28205.96,31815.06,31807.34,31792.91,35539.37,35533.7,35528.04
0.02201.5Central,10110,10110,10110,10110,10110,10110,12480.22,12478.68,12475.79,12852.08,12850.94,12849.81,15639.27,15635.66,15628.93,16507.44,16504.8,16502.16,18798.93,18793.27,18782.69,20163.02,20158.87,20154.72,21958.58,21950.86,21936.43,23818.63,23812.96,23807.3
0.03201.5Central,10110,10110,10110,10110,10110,10110,13670.12,13668.58,13665.69,14228.33,14227.19,14226.06,18415.08,18411.47,18404.74,19718.32,19715.68,19713.04,23160.96,23155.3,23144.72,25208.64,25204.49,25200.34,27906.82,27899.1,27884.67,30699,30693.33,30687.67
0.04201.5Central,10110,10110,10110,10110,10110,10110,14860.02,14858.48,14855.59,15604.58,15603.44,15602.31,21190.89,21187.28,21180.55,22929.2,22926.56,22923.92,27522.99,27517.33,27506.75,30254.26,30250.11,30245.96,33855.06,33847.34,33832.91,37579.37,37573.7,37568.04
0.02231.5Central,12150,12150,12150,12150,12150,12150,14520.22,14518.68,14515.79,14892.08,14890.94,14889.81,17679.27,17675.66,17668.93,18547.44,18544.8,18542.16,20838.93,20833.27,20822.69,22203.02,22198.87,22194.72,23998.58,23990.86,23976.43,25858.63,25852.96,25847.3
0.03231.5Central,12150,12150,12150,12150,12150,12150,15710.12,15708.58,15705.69,16268.33,16267.19,16266.06,20455.08,20451.47,20444.74,21758.32,21755.68,21753.04,25200.96,25195.3,25184.72,27248.64,27244.49,27240.34,29946.82,29939.1,29924.67,32739,32733.33,32727.67
0.04231.5Central,12150,12150,12150,12150,12150,12150,16900.02,16898.48,16895.59,17644.58,17643.44,17642.31,23230.89,23227.28,23220.55,24969.2,24966.56,24963.92,29562.99,29557.33,29546.75,32294.26,32290.11,32285.96,35895.06,35887.34,35872.91,39619.37,39613.7,39608.04
0.02171.8Central,12912,12912,12912,12912,12912,12912,15282.22,15280.68,15277.79,15654.08,15652.94,15651.81,18441.27,18437.66,18430.93,19309.44,19306.8,19304.16,21600.93,21595.27,21584.69,22965.02,22960.87,22956.72,24760.58,24752.86,24738.43,26620.63,26614.96,26609.3
0.03171.8Central,12912,12912,12912,12912,12912,12912,16472.12,16470.58,16467.69,17030.33,17029.19,17028.06,21217.08,21213.47,21206.74,22520.32,22517.68,22515.04,25962.96,25957.3,25946.72,28010.64,28006.49,28002.34,30708.82,30701.1,30686.67,33501,33495.33,33489.67
