"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.04_23_1.2_Black Belt",18559.38,18559.38,18559.38,18559.38,18559.38,18559.38,23502.72,23501.18,23498.29,24276.02,24274.89,24273.75,30090.85,30087.25,30080.51,31896.6,31893.96,31891.32,36680.43,36674.77,36664.19,39517.69,39513.53,39509.38,43269.98,43262.26,43247.83,47138.75,47133.09,47127.42
"0.02_17_1.5_Black Belt",13609.38,13609.38,13609.38,13609.38,13609.38,13609.38,16076.26,16074.72,16071.83,16462.49,16461.36,16460.22,19363.94,19360.34,19353.6,20265.83,20263.19,20260.55,22652.34,22646.68,22636.1,24069.43,24065.27,24061.12,25940.73,25933.01,25918.58,27873.01,27867.35,27861.68
"0.03_17_1.5_Black Belt",13609.38,13609.38,13609.38,13609.38,13609.38,13609.38,17314.49,17312.95,17310.06,17894.25,17893.12,17891.99,22252.39,22248.79,22242.06,23606.22,23603.58,23600.93,27191.39,27185.73,27175.15,29318.56,29314.4,29310.25,32130.35,32122.64,32108.21,35030.88,35025.22,35019.55
"0.04_17_1.5_Black Belt",13609.38,13609.38,13609.38,13609.38,13609.38,13609.38,18552.72,18551.18,18548.29,19326.02,19324.89,19323.75,25140.85,25137.25,25130.51,26946.6,26943.96,26941.32,31730.43,31724.77,31714.19,34567.69,34563.53,34559.38,38319.98,38312.26,38297.83,42188.75,42183.09,42177.42
"0.02_20_1.5_Black Belt",19729.38,19729.38,19729.38,19729.38,19729.38,19729.38,22196.26,22194.72,22191.83,22582.49,22581.36,22580.22,25483.94,25480.34,25473.6,26385.83,26383.19,26380.55,28772.34,28766.68,28756.1,30189.43,30185.27,30181.12,32060.73,32053.01,32038.58,33993.01,33987.35,33981.68
"0.03_20_1.5_Black Belt",19729.38,19729.38,19729.38,19729.38,19729.38,19729.38,23434.49,23432.95,23430.06,24014.25,24013.12,24011.99,28372.39,28368.79,28362.06,29726.22,29723.58,29720.93,33311.39,33305.73,33295.15,35438.56,35434.4,35430.25,38250.35,38242.64,38228.21,41150.88,41145.22,41139.55
"0.04_20_1.5_Black Belt",19729.38,19729.38,19729.38,19729.38,19729.38,19729.38,24672.72,24671.18,24668.29,25446.02,25444.89,25443.75,31260.85,31257.25,31250.51,33066.6,33063.96,33061.32,37850.43,37844.77,37834.19,40687.69,40683.53,40679.38,44439.98,44432.26,44417.83,48308.75,48303.09,48297.42
"0.02_23_1.5_Black Belt",25849.38,25849.38,25849.38,25849.38,25849.38,25849.38,28316.26,28314.72,28311.83,28702.49,28701.36,28700.22,31603.94,31600.34,31593.6,32505.83,32503.19,32500.55,34892.34,34886.68,34876.1,36309.43,36305.27,36301.12,38180.73,38173.01,38158.58,40113.01,40107.35,40101.68
"0.03_23_1.5_Black Belt",25849.38,25849.38,25849.38,25849.38,25849.38,25849.38,29554.49,29552.95,29550.06,30134.25,30133.12,30131.99,34492.39,34488.79,34482.06,35846.22,35843.58,35840.93,39431.39,39425.73,39415.15,41558.56,41554.4,41550.25,44370.35,44362.64,44348.21,47270.88,47265.22,47259.55
"0.04_23_1.5_Black Belt",25849.38,25849.38,25849.38,25849.38,25849.38,25849.38,30792.72,30791.18,30788.29,31566.02,31564.89,31563.75,37380.85,37377.25,37370.51,39186.6,39183.96,39181.32,43970.43,43964.77,43954.19,46807.69,46803.53,46799.38,50559.98,50552.26,50537.83,54428.75,54423.09,54417.42
"0.02_17_1.8_Black Belt",18451.38,18451.38,18451.38,18451.38,18451.38,18451.38,20918.26,20916.72,20913.83,21304.49,21303.36,21302.22,24205.94,24202.34,24195.6,25107.83,25105.19,25102.55,27494.34,27488.68,27478.1,28911.43,28907.27,28903.12,30782.73,30775.01,30760.58,32715.01,32709.35,32703.68
"0.03_17_1.8_Black Belt",18451.38,18451.38,18451.38,18451.38,18451.38,18451.38,22156.49,22154.95,22152.06,22736.25,22735.12,22733.99,27094.39,27090.79,27084.06,28448.22,28445.58,28442.93,32033.39,32027.73,32017.15,34160.56,34156.4,34152.25,36972.35,36964.64,36950.21,39872.88,39867.22,39861.55
"0.04_17_1.8_Black Belt",18451.38,18451.38,18451.38,18451.38,18451.38,18451.38,23394.72,23393.18,23390.29,24168.02,24166.89,24165.75,29982.85,29979.25,29972.51,31788.6,31785.96,31783.32,36572.43,36566.77,36556.19,39409.69,39405.53,39401.38,43161.98,43154.26,43139.83,47030.75,47025.09,47019.42
"0.02_20_1.8_Black Belt",25795.38,25795.38,25795.38,25795.38,25795.38,25795.38,28262.26,28260.72,28257.83,28648.49,28647.36,28646.22,31549.94,31546.34,31539.6,32451.83,32449.19,32446.55,34838.34,34832.68,34822.1,36255.43,36251.27,36247.12,38126.73,38119.01,38104.58,40059.01,40053.35,40047.68
"0.03_20_1.8_Black Belt",25795.38,25795.38,25795.38,25795.38,25795.38,25795.38,29500.49,29498.95,29496.06,30080.25,30079.12,30077.99,34438.39,34434.79,34428.06,35792.22,35789.58,35786.93,39377.39,39371.73,39361.15,41504.56,41500.4,41496.25,44316.35,44308.64,44294.21,47216.88,47211.22,47205.55
"0.04_20_1.8_Black Belt",25795.38,25795.38,25795.38,25795.38,25795.38,25795.38,30738.72,30737.18,30734.29,31512.02,31510.89,31509.75,37326.85,37323.25,37316.51,39132.6,39129.96,39127.32,43916.43,43910.77,43900.19,46753.69,46749.53,46745.38,50505.98,50498.26,50483.83,54374.75,54369.09,54363.42
"0.02_23_1.8_Black Belt",33139.38,33139.38,33139.38,33139.38,33139.38,33139.38,35606.26,35604.72,35601.83,35992.49,35991.36,35990.22,38893.94,38890.34,38883.6,39795.83,39793.19,39790.55,42182.34,42176.68,42166.1,43599.43,43595.27,43591.12,45470.73,45463.01,45448.58,47403.01,47397.35,47391.68
"0.03_23_1.8_Black Belt",33139.38,33139.38,33139.38,33139.38,33139.38,33139.38,36844.49,36842.95,36840.06,37424.25,37423.12,37421.99,41782.39,41778.79,41772.06,43136.22,43133.58,43130.93,46721.39,46715.73,46705.15,48848.56,48844.4,48840.25,51660.35,51652.64,51638.21,54560.88,54555.22,54549.55
"0.04_23_1.8_Black Belt",33139.38,33139.38,33139.38,33139.38,33139.38,33139.38,38082.72,38081.18,38078.29,38856.02,38854.89,38853.75,44670.85,44667.25,44660.51,46476.6,46473.96,46471.32,51260.43,51254.77,51244.19,54097.69,54093.53,54089.38,57849.98,57842.26,57827.83,61718.75,61713.09,61707.42
