"","0.00%_Fixed_4.6","0.00%_Fixed_6.4","0.00%_Fixed_8.2","0.00%_Tracking_4.6","0.00%_Tracking_6.4","0.00%_Tracking_8.2","0.25%_Fixed_4.6","0.25%_Fixed_6.4","0.25%_Fixed_8.2","0.25%_Tracking_4.6","0.25%_Tracking_6.4","0.25%_Tracking_8.2","0.50%_Fixed_4.6","0.50%_Fixed_6.4","0.50%_Fixed_8.2","0.50%_Tracking_4.6","0.50%_Tracking_6.4","0.50%_Tracking_8.2","0.75%_Fixed_4.6","0.75%_Fixed_6.4","0.75%_Fixed_8.2","0.75%_Tracking_4.6","0.75%_Tracking_6.4","0.75%_Tracking_8.2","1.00%_Fixed_4.6","1.00%_Fixed_6.4","1.00%_Fixed_8.2","1.00%_Tracking_4.6","1.00%_Tracking_6.4","1.00%_Tracking_8.2"
"0.02_11_1.0_Central",3291.62,3291.62,3291.62,3291.62,3291.62,3291.62,5631.71,5630.16,5627.28,5995.4,5994.27,5993.14,8750.57,8746.97,8740.24,9599.72,9597.08,9594.43,11870.07,11864.41,11853.83,13204.27,13200.12,13195.97,14989.53,14981.82,14967.38,16808.82,16803.16,16797.5
"0.03_11_1.0_Central",3291.62,3291.62,3291.62,3291.62,3291.62,3291.62,6806.54,6805,6802.11,7352.51,7351.38,7350.24,11491.23,11487.63,11480.89,12765.93,12763.29,12760.64,16176.86,16171.2,16160.62,18179.71,18175.55,18171.4,20862.44,20854.73,20840.29,23593.48,23587.82,23582.16
"0.04_11_1.0_Central",3291.62,3291.62,3291.62,3291.62,3291.62,3291.62,7981.38,7979.83,7976.95,8709.61,8708.48,8707.35,14231.88,14228.28,14221.55,15932.14,15929.5,15926.85,20483.65,20477.99,20467.41,23155.14,23150.99,23146.84,26735.35,26727.64,26713.2,30378.14,30372.48,30366.82
"0.02_14_1.0_Central",6561.62,6561.62,6561.62,6561.62,6561.62,6561.62,8901.71,8900.16,8897.28,9265.4,9264.27,9263.14,12020.57,12016.97,12010.24,12869.72,12867.08,12864.43,15140.07,15134.41,15123.83,16474.27,16470.12,16465.97,18259.53,18251.82,18237.38,20078.82,20073.16,20067.5
"0.03_14_1.0_Central",6561.62,6561.62,6561.62,6561.62,6561.62,6561.62,10076.54,10075,10072.11,10622.51,10621.38,10620.24,14761.23,14757.63,14750.89,16035.93,16033.29,16030.64,19446.86,19441.2,19430.62,21449.71,21445.55,21441.4,24132.44,24124.73,24110.29,26863.48,26857.82,26852.16
"0.04_14_1.0_Central",6561.62,6561.62,6561.62,6561.62,6561.62,6561.62,11251.38,11249.83,11246.95,11979.61,11978.48,11977.35,17501.88,17498.28,17491.55,19202.14,19199.5,19196.85,23753.65,23747.99,23737.41,26425.14,26420.99,26416.84,30005.35,29997.64,29983.2,33648.14,33642.48,33636.82
"0.02_17_1.0_Central",9831.62,9831.62,9831.62,9831.62,9831.62,9831.62,12171.71,12170.16,12167.28,12535.4,12534.27,12533.14,15290.57,15286.97,15280.24,16139.72,16137.08,16134.43,18410.07,18404.41,18393.83,19744.27,19740.12,19735.97,21529.53,21521.82,21507.38,23348.82,23343.16,23337.5
"0.03_17_1.0_Central",9831.62,9831.62,9831.62,9831.62,9831.62,9831.62,13346.54,13345,13342.11,13892.51,13891.38,13890.24,18031.23,18027.63,18020.89,19305.93,19303.29,19300.64,22716.86,22711.2,22700.62,24719.71,24715.55,24711.4,27402.44,27394.73,27380.29,30133.48,30127.82,30122.16
"0.04_17_1.0_Central",9831.62,9831.62,9831.62,9831.62,9831.62,9831.62,14521.38,14519.83,14516.95,15249.61,15248.48,15247.35,20771.88,20768.28,20761.55,22472.14,22469.5,22466.85,27023.65,27017.99,27007.41,29695.14,29690.99,29686.84,33275.35,33267.64,33253.2,36918.14,36912.48,36906.82
"0.02_11_1.2_Central",4695.12,4695.12,4695.12,4695.12,4695.12,4695.12,7035.21,7033.66,7030.78,7398.9,7397.77,7396.64,10154.07,10150.47,10143.74,11003.22,11000.58,10997.93,13273.57,13267.91,13257.33,14607.77,14603.62,14599.47,16393.03,16385.32,16370.88,18212.32,18206.66,18201
"0.03_11_1.2_Central",4695.12,4695.12,4695.12,4695.12,4695.12,4695.12,8210.04,8208.5,8205.61,8756.01,8754.88,8753.74,12894.73,12891.13,12884.39,14169.43,14166.79,14164.14,17580.36,17574.7,17564.12,19583.21,19579.05,19574.9,22265.94,22258.23,22243.79,24996.98,24991.32,24985.66
"0.04_11_1.2_Central",4695.12,4695.12,4695.12,4695.12,4695.12,4695.12,9384.88,9383.33,9380.45,10113.11,10111.98,10110.85,15635.38,15631.78,15625.05,17335.64,17333,17330.35,21887.15,21881.49,21870.91,24558.64,24554.49,24550.34,28138.85,28131.14,28116.7,31781.64,31775.98,31770.32
"0.02_14_1.2_Central",8619.12,8619.12,8619.12,8619.12,8619.12,8619.12,10959.21,10957.66,10954.78,11322.9,11321.77,11320.64,14078.07,14074.47,14067.74,14927.22,14924.58,14921.93,17197.57,17191.91,17181.33,18531.77,18527.62,18523.47,20317.03,20309.32,20294.88,22136.32,22130.66,22125
"0.03_14_1.2_Central",8619.12,8619.12,8619.12,8619.12,8619.12,8619.12,12134.04,12132.5,12129.61,12680.01,12678.88,12677.74,16818.73,16815.13,16808.39,18093.43,18090.79,18088.14,21504.36,21498.7,21488.12,23507.21,23503.05,23498.9,26189.94,26182.23,26167.79,28920.98,28915.32,28909.66
"0.04_14_1.2_Central",8619.12,8619.12,8619.12,8619.12,8619.12,8619.12,13308.88,13307.33,13304.45,14037.11,14035.98,14034.85,19559.38,19555.78,19549.05,21259.64,21257,21254.35,25811.15,25805.49,25794.91,28482.64,28478.49,28474.34,32062.85,32055.14,32040.7,35705.64,35699.98,35694.32
"0.02_17_1.2_Central",12543.12,12543.12,12543.12,12543.12,12543.12,12543.12,14883.21,14881.66,14878.78,15246.9,15245.77,15244.64,18002.07,17998.47,17991.74,18851.22,18848.58,18845.93,21121.57,21115.91,21105.33,22455.77,22451.62,22447.47,24241.03,24233.32,24218.88,26060.32,26054.66,26049
"0.03_17_1.2_Central",12543.12,12543.12,12543.12,12543.12,12543.12,12543.12,16058.04,16056.5,16053.61,16604.01,16602.88,16601.74,20742.73,20739.13,20732.39,22017.43,22014.79,22012.14,25428.36,25422.7,25412.12,27431.21,27427.05,27422.9,30113.94,30106.23,30091.79,32844.98,32839.32,32833.66
"0.04_17_1.2_Central",12543.12,12543.12,12543.12,12543.12,12543.12,12543.12,17232.88,17231.33,17228.45,17961.11,17959.98,17958.85,23483.38,23479.78,23473.05,25183.64,25181,25178.35,29735.15,29729.49,29718.91,32406.64,32402.49,32398.34,35986.85,35979.14,35964.7,39629.64,39623.98,39618.32
